selamat malam	Good night
Adakah ini air kamu?	Is this your water?
Berhenti	Stop That.
Makanan ini sungguh sedap.	This food was very delicious.
Berus gigi itu kepunyaan siapa?	Whose tooth brush is that?
Makanan itu tidak sedap.	That food tastes bad.
Gunakan itu.	Use it.
berat	heavy
ringan	Light (weight)
di sana	Over there
meminum	To drink
masalah	Problem
oren	Orange
benda	Thing
epal	Apple
perempuan	girl
pergi	To Go
minuman	Drink (object)
comel	Cute
orang	person
lelaki	Boy
menunggu	to wait
beg	bag
dan	and
ini	These
soda	Soda
pizza	Pizza
itu	Those
Beg-beg itu ringan.	Those bags are light.
Ini adalah epal.	These are apples.
Itu adalah epal.	Those are apples.
Apakah semua benda-benda itu?	What are those things?
Beg-beg itu berat.	Those bags are heavy.
Apakah semua benda-benda ini?	What are these things?
Tiada masalah dengan beg dan soda yang berat itu.	Those heavy bags and sodas are no problem.
Budak-budak lelaki itu comel.	Those boys are cute.
Beg-beg itu berada di sana.	The bags are over there.
Ini bukan soda.	These are not sodas.
Di manakah minuman-minuman itu?	Where are the drinks?
Budak-budak perempuan itu comel.	Those girls are cute.
Ini ialah soda.	These are sodas.
Adakah itu air?	Are those waters?
Marilah kita minum.	Let’s go drink.
Beg-beg dan pizza itu kepunyaan saya.	Those are my bags and pizzas.
Epal itu kepunyaan dia.	Those apples are his.
Pizza itu kepunyaan siapa?	Whose pizzas are those?
Pizza itu kepunyaan kamu.	Those pizzas are yours.
Epal itu kepunyaan kamu.	Those apples are yours.
Pizza itu kepunyaan dia.	Those pizzas are his.
Beg-beg itu kepunyaan siapa?	Whose bags are those?
Beg-beg dan pizza itu bukan kepunyaan saya.	Those were not my bags and pizzas.
Marilah kita makan pizza.	Let’s go eat pizza.
Sila memberi epal dan oren ini kepada saya.	Please give me those apples and oranges.
Sila tunggu.	Please wait.
Sila memberi epal dan oren ini kepada Ken.	Please give Ken those apples and oranges.
Sila pergi.	Please go.
Marilah kita pergi.	Let’s go.
sifar	zero
empat	Four
lima	Five
dua	Two
tiga	Three
satu	One
kerana	Because
kenapa	why
lapan	Eight
enam	six
tujuh	Seven
sebiji burger	One Burger
sembilan	Nine
rahsia	secret
sepuluh	Ten
nombor	Nombor
berapakah?	How many?
satu orang	one person
menghubungi	To call
nanti	Later
sekarang	Now
baru	new
sibuk	Busy
Nombor telefon saya ialah 745-5609.	My phone number is 745-5609.
Kerana nombor telefon dia baru.	Because his phone is new.
Apakah nombor telefon kamu?	What is your phone number?
Saya tidak tahu nombor telefon saya.	I do not know my telephone number.
Apakah nombor telefon Ken?	What is Ken’s phone number?
Nombor telefon saya rahsia.	My phone number is secret.
Kenapa kamu tidak mengetahui nombor telefon dia?	Why don’t you know his telephone number?
Nombor telefon saya ialah 124-3586.	My phone number is 124-3586.
Jangan menghubunginya.	Do not call her.
Hubungi saya sekarang.	Call me now.
Kenapa kamu ingin saya menelefon dia?	Why do you want me to call her?
Hubungi saya kemudian.	Call me later.
Dia kata dia sungguh sibuk sekarang.	She said she is very busy now.
Kerana dia ingin bercakap dengan kamu.	Because he wants to speak with you.
Saya akan menghubunginya kemudian kerana saya sibuk.	I will call later because I am busy.
Berapa ramai orang?	How many people?
Saya mahu tiga biji burger kerana saya lapar.	I want three hamburgers because I am hungry.
Seorang	One person please.
Saya mahu dua biji burger kerana saya lapar.	I want two hamburgers because I am hungry.
Lima orang.	Five people please.
Dua orang.	Two people please.
Saya mahu sebiji burger.	I want one hamburger.
Tiga orang.	Three people please.
Saya mahu empat biji burger kerana saya lapar.	I want four hamburgers because I am hungry.
Empat orang.	Four people please.
Sila hubungi saya.	Please call me.
Saya mahu lima biji burger kerana saya lapar.	I want five hamburgers because I am hungry.
Berapa biji burger yang kamu mahu?	How many hamburgers do you want?
lima belas	fifteen
memerlukan	to need
dua belas	twelve
sebelas	eleven
tiga belas	thirteen
enam belas	sixteen
juga	Also
empat belas	fourteen
tujuh belas	seventeen
kalau	If
mereka	they
datang	To come
sembilan belas	nineteen
dua puluh	twenty
meja	table
lapan belas	eighteen
membuat	To make
sedikit	Few
salinan	Copies
banyak	Many
kita	We
kerusi	chairs
kita	Us
Saya perlukan sembilan belas helai salinan.	I need nineteen copies.
Kita perlukan dua belas buah kerusi jika Ken datang.	If Ken comes, then we will need twelve chairs.
Kita perlukan sebelas buah kerusi.	We will need eleven chairs.
Terdapat enam belas helai salinan.	There are sixteen copies.
Berapakah helai salinan yang Erica kata perlu dibuat?	How many copies did Erica say to make?
Dia kata kita perlukan dua puluh helai salinan kerana Ken dan Erica akan datang juga.	She said we need twenty copies because Ken and Erica will come also.
Berapakah helai salinan yang terdapat di situ?	How many copies are there?
Terdapat lima belas helai salinan.	There are fifteen copies.
Berapa ramai orang yang akan datang?	How many people are coming?
Berapa ramai orang yang memerlukan salinan?	How many people need copies?
Sila buat lapan belas helai salinan.	Please make us eighteen copies.
Tiga belas orang akan datang.	Thirteen people will come.
Empat belas orang akan datang.	Fourteen people will come.
Sila buat tujuh belas helai salinan.	Please make us seventeen copies.
Berapa ramai orang yang memerlukan kerusi?	How many people need chairs?
Erica kata dia akan datang.	Erica said she will come.
Adakah Erica akan datang bersama-sama kita?	Will Erica come with us?
Sila beri kita empat belas buah kerusi.	Please give us fourteen chairs.
Siapa kata mereka akan datang?	Who said they will come?
Erica dan saya juga akan pergi.	Erica and I will also go.
Sila beri kita tiga belas buah kerusi.	Please give us thirteen chairs.
Ken kata dia tidak akan datang.	Ken said he will not come.
Kita perlukan lima buah meja jika tiga belas orang datang.	If thirteen people come, then we need five tables.
Kita perlukan lima buah meja jika empat belas orang datang.	If fourteen people come, then we need five tables.
Berapakah buah kerusi yang Erica mahu?	How many chairs does Erica want?
Ken mahu sembilan belas buah kerusi dan tiga belas buah meja.	Ken wants nineteen chairs and thirteen tables.
Kita akan membuat sebelas helai salinan.	We will make eleven copies.
Kita akan membuat dua belas helai salinan.	We will make twelve copies.
Ken mahu dua puluh buah kerusi dan dua belas buah meja.	Ken wants twenty chairs and twelve tables.
dua puluh satu	twenty one
sepuluh ribu	10,000
seratus ribu	100,000
seribu tiga ratus	1300
seratus empat puluh	146
seratus	100
enam puluh	Sixty
seribu	thousand
sebilion	One Billion
satu juta	One Million
dunia	World
lima puluh juta	55 Million
seratus juta	One hundred Million
sepuluh bilion lima ratus juta	ten billion five hundred million
sepuluh juta	Ten million
dua ratus ribu	Two hundred thousand
tepat	Exactly
duit	Money
semua	All
Berapakah harganya?	How much?
kira-kira	About
populasi	population
Berapa ramai orang di dalam dunia ini?	How many people are there in the world?
Sila berikan saya enam puluh tujuh euro.	Please give me sixty seven euros.
Sila berikan saya tujuh ratus sepuluh euro.	Please give me seven hundred ten euros.
Sila berikan saya lima ratus lima puluh euro.	Please give me five hundred fifty euros.
Dunia ini mempunyai kira-kira tujuh bilion orang.	There are about seven billion people in the world.
Dunia ini mempunyai kira-kira enam ratus juta buah kereta.	There are about six hundred million cars in the world.
Sila berikan saya sepuluh ribu euro.	Please give me ten thousand euros.
Berapakah buah kereta di dalam dunia ini?	How many cars are there in the world?
Saya mempunyai kira-kira dua puluh dua dolar.	I have about twenty two dollars.
Saya mempunyai tepat dua puluh dua dolar.	I have exactly twenty two dollars.
Berapa banyak duit yang kamu punyai?	How much money do you have?
Saya mempunyai kira-kira tiga ratus lima puluh dolar.	I have about three hundred fifty dollars.
Ini adalah semua yang saya miliki.	That is all I have.
Adakah ini semua yang kamu miliki?	Is that all you have?
Saya mempunyai tepat tiga ratus lima puluh dolar.	I have exactly three hundred fifty dollars.
Berapa banyak duit yang kamu perlukan?	How much money do you need?
Populasi dunia ini adalah kira-kira lima ratus juta orang.	The world population is about six billion five hundred million.
Populasi dunia ini adalah kira-kira tujuh bilion orang.	The world population is about seven billion.
Saya perlukan dua puluh empat euro.	I need twenty four euros.
Saya mempunyai dua puluh empat euro.	I have twenty four euros.
Kira-kira berapakah populasi dunia ini?	About what is the world population?
Saya mempunyai seribu tiga ratus lapan puluh lima euro.	I have one thousand three hundred eighty five euros.
Saya perlukan seribu tiga ratus lapan puluh lima euro.	I need one thousand three hundred eighty five euros.
segi empat	square
pembaris	Ruler
segi tiga	triangle
panjang	Length
bulatan	bulatan
garisan	Line
suhu	suhu (temperature unit?)
meter	Meter
serbet	napkin
ketinggian	Height
sentimeter	Centimeter
cukup	Enough
paun	pound
gram	gram
negatif	negative
kilogram	kilogram
fahrenheit	fahrenheit
tepi	Side
gelen	Gallon
telefon bimbit	mobile phone
Celsius	Celcius
liter	Liter
Adakah serbet mencukupi?	Are there enough napkins?
Kita akan memerlukan lima belas helai serbet segi empat.	We will need fifteen square napkins.
Ada dua puluh enam helai serbet.	There are twenty six napkins.
Adakah meja mencukupi?	Are there enough tables?
Kita akan memerlukan dua puluh lapan helai serbet segi empat jika Ken datang.	If Ken comes, then we will need twenty eight square napkins.
Serbet adalah mencukupi.	There are enough napkins.
Kerusi adalah mencukupi.	There are enough chairs.
Ada dua puluh enam buah kerusi.	There are twenty six chairs.
Suhu itu adalah dua puluh enam darjah Celsius.	The temperature is twenty six degrees Celsius.
Tiga puluh dua darjah Fahrenheit ialah sifar darjah Celsius.	Thirty two degrees Fahrenheit is zero degrees Celsius.
Suhu itu adalah negatif sepuluh darjah Celsius.	The temperature is negative ten degrees Celsius.
Apakah suhu itu dalam Fahrenheit?	What is the temperature in Fahrenheit?
Apakah suhu itu dalam Celsius?	What is the temperature in Celsius?
Apakah panjang meja itu?	What is the length of the table?
Apakah ketinggian meja itu?	What is the height of the table?
Kira-kira berapa liter air yang terdapat di situ?	About how many liters of water are there?
Kira-kira berapa gelen air yang terdapat di situ?	About how many gallons of water are there?
Apakah jenis kerusi ini?	What kind of chair is it?
Apakah jenis meja ini?	What kind of table is it?
Terdapat tiga puluh lima liter air.	There are thirty five liters of water.
Ini ialah meja jenis bulat.	It is a circle table.
Ini ialah meja jenis segi empat.	It is a square table.
Terdapat lima belas liter air.	There are fifteen liters of water.
Panjangnya enam sentimeter.	The length is six centimeters.
Sebelas paun ialah lima kilogram.	Eleven pounds is five kilograms.
Telefon bimbit itu seberat dua ratus gram.	The cell phone weighs two hundred grams.
Panjangnya enam meter.	The length is six meters.
Seribu gram ialah satu kilogram.	One thousand grams is one kilogram.
Berapakah berat telefon bimbit itu?	How much does the cell phone weigh?
merah	red
oren	Orange (color + fruit)
kuning	yellow
ungu	Purple
hijau	Green
membaca	To read
warna	Color
biru	blue
hitam	black
merah jambu	pink
putih	white
gelap	dark
perang	brown
muda	light
kelabu	gray
tetapi	but
menulis	to write
pen	pen
hebat	awesome
panjang	Long
pensil	pencil
boleh	can (object)
dakwat	ink
kertas	paper
pendek	short
Pen itu berwarna putih tetapi dakwatnya hitam.	The pen is white, but it writes in black ink.
Dakwat kuning adalah senang dibaca di atas kertas putih.	Yellow ink is easy to read on white paper.
Anda boleh mengunanya tetapi dakwatnya ungu.	You may use it, but the ink is purple.
Bolehkah saya menguna pen itu?	May I use that pen?
Anda boleh mengunanya tetapi dakwatnya merah jambu.	You may use it, but the ink is pink.
Bolehkah saya menguna pensil itu?	May I use that pencil?
Dakwat kuning adalah susah dibaca di atas kertas putih.	Yellow ink is hard to read on white paper.
Bolehkah kamu membaca?	Can you read?
Telefon bimbit merah jambu dan hijau anda hebat.	Your pink and green phone is awesome.
Saya boleh membaca tetapi saya tidak boleh menulis.	I can read, but I can not write.
Saya tidak boleh membaca.	I can not read.
Saya boleh membaca.	I can read.
Kereta itu berwarna kuning.	That car is yellow.
Kereta itu hebat.	That car is awesome.
Sila berikan saya pensil biru yang pendek itu.	Please give me the short blue pencil.
Pen yang mana satukah anda mahu?	Which pen do you want?
Dengan warna apakah yang anda ingin saya tulis?	What color do you want me to write in?
Sila tulis nama anda dengan dakwat biru.	Write your name in blue ink please.
Sila berikan saya pensil biru yang panjang itu.	Please give me the long blue pencil.
Pen-pen itu susah diguna kerana terlalu pendek.	Those pens are hard to use because they are very short.
Sila tulis nama anda dengan dakwat merah.	Write your name in red ink please.
Pen-pen itu senang diguna.	Those pens are easy to use.
Pen-pen itu sungguh panjang.	Those pens are very long.
Pen-pen ini berwarna hijau muda.	These pens are light green.
Apakah warna kereta anda?	What color is your car?
Pen-pen ini berwarna hijau tua.	These pens are dark green.
Apakah warna pen-pen itu?	What color are those pens?
Kereta saya berwarna hitam.	My car is black.
Saya mempunyai sebuah kereta hijau dan sebuah kereta merah.	I have a green car and a red car.
satu per empat	fourth / quater
bermakna	to mean
setengah	half
satu per tiga	1/3 (One-third)
tiga per empat	3/4 (three-fourths)
atau	Or
yang mana satu	Which
peratus	Percent
lima tolak dua	five minus two
lawan	Opposite
sepuluh perpuluhan kosong lapan	ten point zero eight
sama	same
enam per sepuluh	six tenths
tujuh perpuluhan satu	seven point one
tiga tambah empat	3 plus 4
sepuluh sembilan per sepuluh	ten and nine tenths
lebih	More
lapan dibahagi dengan empat	eight divided by four
enam darab tujuh	six times seven
empat per sepuluh peratus	four tenths of a percent
empat setengah	four and a half
dua satu per empat	two and a quarter
kurang	less
Tiga per empat adalah sama dengan tujuh puluh lima peratus.	Three fourths is the same as seventy five percent.
Yang mana satukah adalah lebih besar, enam peratus ataupun setengah?	Which is more, sixty percent or one half?
Tiga per empat adalah sama dengan sifar perpuluhan tujuh lima.	Three fourths is the same as zero point seventy five.
Yang mana satukah yang lebih besar, enam peratus ataupun tujuh perpuluhan lapan?	Which is more, sixty percent or seven point eight?
Dua per tiga adalah lebih besar daripada tiga per sepuluh.	Two thirds is more than three tenths.
Satu gelen mempunyai tiga perpuluhan lapan liter.	There are three point eight liters in one gallon.
Dua per tiga adalah lebih besar daripada dua per empat.	Two thirds is more than two fourths.
Satu liter mempunyai sifar perpuluhan dua enam gelen.	There are zero point two six gallons in one liter.
Satu kilogram ialah dua perpuluhan dua paun.	One kilogram is two point two pounds.
Sila berikan saya dua satu per empat liter.	Please give me two and a quarter liters.
Bolehkah saya menerima sembilan perpuluhan satu juta euro?	May I have 9.1 million euros?
Bolehkah saya menerima sembilan perpuluhan satu bilion euro?	May I please have nine point one billion euros?
Berapakah banyak liter air yang anda perlukan?	How many liters of water do you need?
Berapakah banyak liter air yang anda ingini?	How many liters of water do you want?
Sila berikan saya empat setengah liter.	Please give me four and a half liters.
Satu paun mempunyai kosong perpuluhan empat lima kilogram.	In one pound there are zero point four five kilograms.
Apakah lawan 8.9?	What is the opposite of eight point nine?
Lawan 8.9 ialah negatif 8.9	The opposite of eight point nine is negative eight point nine.
Suhu itu adalah tepat 8.9 darjah.	The temperature is exactly eight point nine degrees.
Empat per lima adalah kurang daripada lima per enam.	Four fifths is less than five sixths.
Suhu itu adalah tepat dua puluh empat perpuluhan tujuh darjah.	The temperature is exactly twenty four point seven degrees.
Empat per lima adalah kurang daripada sembilan puluh peratus.	Four fifths is less than ninety percent.
Apakah makna 7/10?	What does seven tenths mean?
7/10 bermakna 0.7.	Seven tenths means zero point seven.
Lima puluh lima dibahagi dengan lima ialah sebelas.	Fifty five divided by five is eleven.
Lapan perpuluhan dua tambah dengan enam ialah?	What is eight point two plus six?
Tiga per empat tambah dengan satu per empat ialah satu.	Three fourths plus one fourth is a whole.
Enam darab dengan lapan ialah tujuh puluh dua.	Nine times eight is seventy two.
Enam darab dengan apa ialah tiga puluh enam?	Six times what is thirty six?
Tujuh darab dengan lapan ialah?	What is seven times eight?
peti sejuk	refrigerator
meletak	to put
kosong	empty
satu lagi	another
tempat	place
sink	sink
peti beku	freezer
dapur	kitchen
kabinet	cabinet
pasang	On
ketuhar	Oven
ketuhar gelombang micro	microwave
dalam	In
padam	Off
pasangkan	To turn
kaunter dapur	countertop
kotak	box
air sejuk	cold water
bersihkan	to clean
boleh	could
pinggan mangkuk	dish
air panas	Hot water
kotor	dirty
bersih	clean
Kaunter dapur itu bersih tetapi ketuhar gelombang micro itu kotor.	The countertop is clean, but the microwave is dirty.
Jika peti sejuk sudah penuh, letakkan minuman-minuman itu di dalam air sejuk.	If the freezer is full, then put the drinks in the cold water.
Sila hidupkan ketuhar itu.	Please turn on the oven.
Sila matikan ketuhar itu.	Please turn off the oven.
Letakkan kotak-kotak itu didalam peti sejuk.	Put the boxes in the refrigerator.
Ketuhar sudah dipasangkan.	The oven is on.
Adakah ketuhar itu terpasang?	Is the oven on?
Ketuhar tidak dipasang.	The oven is off.
Kotak itu kosong.	The box is empty.
Bolehkah kamu bersihkan sink itu dengan air sejuk?	Could you please clean the sink with cold water?
Bolehkah kotak ini diletakkan dalam ketuhar gelombang micro?	Is it okay to put this box in the microwave?
Bolehkah kamu bersihkan sink itu dengan air panas?	Could you please clean the sink with hot water?
Kotak itu penuh.	The box is full.
Letakkan pinggan mangkuk itu di dalam sinki.	Put that dish in the sink.
Kamu mahu saya menggunakan air panas ataupun air sejuk?	Do you want me to use hot water or cold water?
Bolehkah kamu bersihkan pinggan mangkuk itu?	Could you please clean the dishes?
Could you please clean the dishes?	Bolehkah kamu bersihkan pinggan mangkuk itu?
Erica akan membersihkan pinggan mangkuk dan ketuhar gelombang micro.	Erica will clean the dishes and the microwave.
Terima kasih kerana membersihkan meja itu.	Thank you for cleaning the table.
Terima kasih kerana membersihkan pinggan mangkuk itu.	Thank you for cleaning the dishes.
Saya akan bersihkan kaunter dapur dan ketuhar gelombang micro jika kamu memberi saya sepuluh euro.	I will clean the countertop and clean the microwave if you give me ten euros.
Saya mahu satu lauk lagi.	I want another dish please.
Kabinet ialah tempat dimana kamu meletak pinggan mangkuk yang bersih	A cabinet is a place where you put clean dishes.
Saya mahu satu kotak lagi.	I want another box please.
Adakah kamu mahu sekotak lagi?	Do you want another box?
Apa itu ketuhar gelombang micro?	What is a microwave?
Apa itu kabinet?	What is a cabinet?
tingkap	window
menutup	To close
supaya	In order to
dinding	Wall
rumah pangsa	Apartment
jalan	Road
kucing	Cat
membuka	To open
melepaskan diri	To escape
luar	Outside
peti surat	Mailbox
dalam	Inside
surat	mail
pintu	Door
rumah	Home
kunci	key
anjing	Dog
mangga	lock
garaj	garage
suka	To like
seseorang	Someone
betul	That's right
hos	Hose
Saya tidak suka memandikan anjing.	I do not like cleaning dogs.
Adakah kamu suka memakan epal?	Do you like eating apples?
Saya suka makan kucing.	I do like eating cats.
Adakah kamu suka memakan surat?	Do you like eating mail?
Seseorang telah menutup tingkap itu.	Someone closed the window.
Saya tidak suka memandikan kucing.	I do not like cleaning cats.
Seseorang telah menutup pintu itu.	Someone closed the door.
Saya suka makan tingkap.	I do like eating windows.
Adakah kamu mempunyai anjing dalam pangsapuri kamu?	Do you have a dog in your apartment?
Adakah kamu mahu membuka tingkap itu?	Do you want to open the window?
Kucing itu boleh melepaskan diri.	The cat can escape.
Sila tutup tingkap itu.	Please close the window.
Adakah kamu mempunyai anjing dalam rumah kamu?	Do you have a dog in your home?
Sila buka tingkap itu.	Please open the window.
Sila tutup pintu itu supaya anjing itu tidak boleh melepaskan diri.	Please close the door so that the dog can not escape.
adakah kamu mahu menutup tingkap itu?	Do you want to close the window?
Seekor anjing sedang membaca surat didalam.	There was a dog inside reading the mail.
Kunci ini adalah untuk pintu saya.	This is the key for my door.
Kunci ini adalah untuk pintu itu.	This is the key for that door.
Saya perlu kunci untuk membuka pintu itu.	I need a key to open the door.
Saya perlu kunci untuk membuka mangga itu.	I need a key to open the lock.
Seekor kucing sedang memakan hos diluar.	There is a cat outside eating the hose.
Garaj itu terbuka.	The garage is open.
Bolehkah kamu letakkan anjing itu didalam?	Could you please put the dog inside?
Bolehkah kamu letakkan anjing itu diluar?	Could you please put the dog outside?
Saya mahu masuk ke dalam.	I want to go inside.
Garaj itu tertutup.	The garage is closed.
Saya mahu keluar.	I want to go outside.
katil	bed
cermin	mirror
gitar	guitar
mungkin	perhaps
bantal	Pillow
habiskan	To finish
televisyen	television
kipas	fan
piano	piano	
atas	On
penghawa dingin	Air conditioner
bilik	room
rosakkan	to break
lampu	lamp
semut	Ant
Ant	semut
ruang tamu	Living room
lalat	Fly
payung	Umbrella
mungkin	might
gunting	Scissors
mengambil	To take
soket elektrik	electric socket
bilik tidur	bedroom
Bolehkah saya mengambil sekaki payung?	May I take an umbrella?
Gitar itu berada di ruang tamu.	The guitar is in the living room.
Di bilik manakah ia berada?	Which room is it in?
Sila ambil gunting saya.	Please take my scissors.
Gitar itu berada di bilik tidur.	The guitar is in the bedroom.
Sila ambil bantal saya.	Please take my pillow.
Payung itu mungkin berada di ruang tamu.	Perhaps the umbrella is in the living room.
Payung itu mungkin berada di bilik tidur.	Perhaps the umbrella is in the bedroom.
Seseorang telah mengambil gunting itu.	Someone took the scissors.
Sila pergi ke bilik tidur.	Please go to the bedroom.
Di manakah payung itu?	Where is the umbrella?
Sila datang ke bilik tidur.	Please come to the bedroom.
Di manakah gitar itu?	Where is the guitar?
Seseorang telah merosakkan gunting itu.	Someone broke the scissors.
Gunting itu mungkin sudah rosak.	The scissors might be broken.
Sudahkah kamu menghabiskannya?	Are you finished?
Soket elektrik itu mungkin sudah rosak.	The power outlet might be broken.
Apakah masalahnya dengan televisyen ini?	What is the problem with this television?
Sila tutup pintu itu supaya lalat tidak boleh masuk ke dalam.	Please close the door so that flies can not come inside.
Sila tutup pintu itu supaya semut tidak boleh masuk ke dalam.	Please close the door so that ants can not come inside.
Apakah masalahnya dengan payung ini?	What is the problem with this umbrella?
Sudahkah kamu menghabiskannya?Sila matikan penghawa dingin itu selepas kamu habis menggunanya.	When you are finished, please turn off the air conditioner.
Terdapat seekor semut diatas bantal itu.	There is an ant on that pillow.
Terdapat seekor lalat diatas bantal itu.	There is a fly on that pillow.
Bagaimanakah saya menghidupkan televisyen itu?	How do I turn on the television?
Sila matikan lampu itu selepas kamu habis menggunanya.	When you are finished, please turn off the light.
Saya sudah membaiki televisyen itu.	I fixed the television.
Saya telah merosakkan televisyen itu.	I broke the television.
Mungkin kipas itu sudah rosak.	Perhaps the fan is broken.
tarik	to pull
lantai	floor
tolak	To push
perlu	to have to
sesiapa	Anyone
span	Sponge
busuk	stinky
sabun	Soap
